Country Name,Country ID,Area (km^2),PM10 Stations,Density
Thailand,TH,553682.4537914646,162,0.292586479652134
Turkey,TR,1291706.3349545207,332,0.25702436460659556
United Kingdom,GB,710988.8435870362,165,0.23207115201351455
India,IN,3750450.957085536,536,0.14291614692024238
Philippines,PH,307233.9160197402,22,0.07160667769044896
United States of America,US,21658399.051954504,1035,0.04778746561632861
